side,limit,margin,stat,type,fromPosition
long,-46726.25,0.01,open,open Position,1611.25
long,-46563.85,0.01,open,open Position,1605.65
long,-47654.25,0.01,open,open Position,1643.25
long,-46613.15,0.01,open,open Position,1607.35
long,-46083.9,0.01,open,open Position,1589.1
long,-45930.2,0.01,open,open Position,1583.8
long,-46134.65,0.01,open,open Position,1590.85
long,-46036.05,0.01,open,open Position,1587.45
long,-45996.9,0.01,open,open Position,1586.1
long,-43231.75,0.01,open,open Position,1490.75
long,-43263.65,0.01,open,open Position,1491.85
long,-43737.8,0.01,open,open Position,1508.2
long,-43704.45,0.01,open,open Position,1507.05
long,-43430.4,0.01,open,open Position,1497.6
long,-43398.5,0.01,open,open Position,1496.5
long,-43594.25,0.01,open,open Position,1503.25
long,-43194.05,0.01,open,open Position,1489.45
long,-42756.15,0.01,open,open Position,1474.35
long,-42688,0.01,open,open Position,1472
long,-42970.75,0.01,open,open Position,1481.75
long,-42650.3,0.01,open,open Position,1470.7
long,-42522.7,0.01,open,open Position,1466.3
long,-42718.45,0.01,open,open Position,1473.05
long,-42595.2,0.01,open,open Position,1468.8
long,-42666.25,0.01,open,open Position,1471.25
long,-42667.7,0.01,open,open Position,1471.3
long,-42651.75,0.01,open,open Position,1470.75
long,-42080.45,0.01,open,open Position,1451.05
long,-42398,0.01,open,open Position,1462
long,-42599.55,0.01,open,open Position,1468.95
long,-42853.3,0.01,open,open Position,1477.7
long,-42181.95,0.01,open,open Position,1454.55
long,-41481.6,0.01,open,open Position,1430.4
long,-41935.45,0.01,open,open Position,1446.05
long,-42105.1,0.01,open,open Position,1451.9
long,-41394.6,0.01,open,open Position,1427.4
long,-41206.1,0.01,open,open Position,1420.9
long,-41401.85,0.01,open,open Position,1427.65
long,-41388.8,0.01,open,open Position,1427.2
long,-41681.7,0.01,open,open Position,1437.3
long,-41744.05,0.01,open,open Position,1439.45
long,-41528,0.01,open,open Position,1432
long,-41578.75,0.01,open,open Position,1433.75
long,-41822.35,0.01,open,open Position,1442.15
long,-41906.45,0.01,open,open Position,1445.05
long,-41731,0.01,open,open Position,1439
long,-41749.85,0.01,open,open Position,1439.65
long,-41760,0.01,open,open Position,1440
long,-41509.15,0.01,open,open Position,1431.35
long,-41497.55,0.01,open,open Position,1430.95
long,-41526.55,0.01,open,open Position,1431.95
long,-41568.6,0.01,open,open Position,1433.4
long,-41507.7,0.01,open,open Position,1431.3
long,-41356.9,0.01,open,open Position,1426.1
long,-41152.45,0.01,open,open Position,1419.05
long,-41306.15,0.01,open,open Position,1424.35
long,-41246.7,0.01,open,open Position,1422.3
long,-41896.3,0.01,open,open Position,1444.7
long,-41862.95,0.01,open,open Position,1443.55
long,-42502.4,0.01,open,open Position,1465.6
long,-42625.65,0.01,open,open Position,1469.85
long,-42541.55,0.01,open,open Position,1466.95
long,-42457.45,0.01,open,open Position,1464.05
long,-42390.75,0.01,open,open Position,1461.75
long,-42102.2,0.01,open,open Position,1451.8
long,-42471.95,0.01,open,open Position,1464.55
long,-42572,0.01,open,open Position,1468
long,-42071.75,0.01,open,open Position,1450.75
long,-42102.2,0.01,open,open Position,1451.8
long,-42190.65,0.01,open,open Position,1454.85
long,-42090.6,0.01,open,open Position,1451.4
long,-42128.3,0.01,open,open Position,1452.7
long,-42261.7,0.01,open,open Position,1457.3
long,-42150.05,0.01,open,open Position,1453.45
long,-42128.3,0.01,open,open Position,1452.7
long,-42186.3,0.01,open,open Position,1454.7
long,-41284.4,0.01,open,open Position,1423.6
long,-41504.8,0.01,open,open Position,1431.2
long,-41567.15,0.01,open,open Position,1433.35
long,-41678.8,0.01,open,open Position,1437.2
long,-41590.35,0.01,open,open Position,1434.15
long,-41171.3,0.01,open,open Position,1419.7
long,-41079.95,0.01,open,open Position,1416.55
long,-40478.2,0.01,open,open Position,1395.8
long,-39935.9,0.01,open,open Position,1377.1
long,-39834.4,0.01,open,open Position,1373.6
long,-40027.25,0.01,open,open Position,1380.25
long,-39766.25,0.01,open,open Position,1371.25
long,-38636.7,0.01,open,open Position,1332.3
long,-38851.3,0.01,open,open Position,1339.7
long,-38671.5,0.01,open,open Position,1333.5
long,-38948.45,0.01,open,open Position,1343.05
long,-38855.65,0.01,open,open Position,1339.85
long,-37729,0.01,open,open Position,1301
long,-37518.75,0.01,open,open Position,1293.75
long,-37849.35,0.01,open,open Position,1305.15
long,-37575.3,0.01,open,open Position,1295.7
long,-37482.5,0.01,open,open Position,1292.5
long,-37736.25,0.01,open,open Position,1301.25
long,-37491.2,0.01,open,open Position,1292.8
