profitLevel,closeLevel,addLossLevel,levrage,maxLongMargin,longPnl,longMargin,maxShortMargin,shortPnl,shortMargin,totalProfit,totalLoss,totalpnl
0.15,0.15,0.3,3,0.01,0,0,0.01,0,0,2.0154999999999994,-0.7103999999999997,1.3051
0.15,0.15,0.3,3,0.02,0,0,0.02,0,0,4.030999999999999,-1.4207999999999994,2.6102
0.15,0.15,0.3,3,0.03,0,0,0.03,0,0,6.046499999999998,-2.131199999999999,3.9152999999999993
0.15,0.15,0.3,3,0.04,0,0,0.04,0,0,8.061999999999998,-2.841599999999999,5.2204
0.15,0.15,0.3,3,0.05,0,0,0.05,0,0,10.077499999999997,-3.5519999999999983,6.525499999999999
0.15,0.15,0.3,3,0.06,0,0,0.06,0,0,12.092999999999996,-4.262399999999998,7.830599999999999
0.15,0.15,0.3,3,0.07,0,0,0.07,0,0,14.1085,-4.972799999999998,9.1357
0.15,0.15,0.3,3,0.08,0,0,0.08,0,0,16.123999999999995,-5.683199999999998,10.4408
0.15,0.15,0.3,3,0.09,0,0,0.09,0,0,18.139499999999995,-6.393599999999997,11.745899999999999
0.15,0.15,0.3,3,0.1,0,0,0.1,0,0,20.154999999999994,-7.1039999999999965,13.050999999999998
0.15,0.15,0.3,5,0.01,0,0,0.01,0,0,2.187900000000002,-0.7733999999999992,1.414500000000003
0.15,0.15,0.3,5,0.02,0,0,0.02,0,0,4.375800000000004,-1.5467999999999984,2.829000000000006
0.15,0.15,0.3,5,0.03,0,0,0.03,0,0,6.563700000000006,-2.320199999999997,4.243500000000009
0.15,0.15,0.3,5,0.04,0,0,0.04,0,0,8.751600000000009,-3.093599999999997,5.658000000000012
0.15,0.15,0.3,5,0.05,0,0,0.05,0,0,10.93950000000001,-3.866999999999996,7.072500000000013
0.15,0.15,0.3,5,0.06,0,0,0.06,0,0,13.127400000000012,-4.640399999999994,8.487000000000018
0.15,0.15,0.3,5,0.07,0,0,0.07,0,0,15.315300000000015,-5.413799999999995,9.90150000000002
0.15,0.15,0.3,5,0.08,0,0,0.08,0,0,17.503200000000017,-6.187199999999994,11.316000000000024
0.15,0.15,0.3,5,0.09,0,0,0.09,0,0,19.691100000000016,-6.960599999999992,12.730500000000022
0.15,0.15,0.3,5,0.1,0,0,0.1,0,0,21.87900000000002,-7.733999999999992,14.145000000000026
0.15,0.15,0.3,8,0,0,0,0.01,0,0,2.860000000000002,-0.766199999999999,2.0938000000000034
0.15,0.15,0.3,8,0,0,0,0.02,0,0,5.720000000000004,-1.532399999999998,4.187600000000007
0.15,0.15,0.3,8,0,0,0,0.03,0,0,8.580000000000005,-2.298599999999997,6.28140000000001
0.15,0.15,0.3,8,0,0,0,0.04,0,0,11.440000000000008,-3.064799999999996,8.375200000000014
0.15,0.15,0.3,8,0,0,0,0.05,0,0,14.30000000000001,-3.8309999999999946,10.469000000000015
0.15,0.15,0.3,8,0,0,0,0.06,0,0,17.16000000000001,-4.597199999999994,12.56280000000002
0.15,0.15,0.3,8,0,0,0,0.07,0,0,20.020000000000017,-5.363399999999993,14.656600000000028
0.15,0.15,0.3,8,0,0,0,0.08,0,0,22.880000000000017,-6.129599999999992,16.750400000000027
0.15,0.15,0.3,8,0,0,0,0.09,0,0,25.740000000000023,-6.89579999999999,18.844200000000033
0.15,0.15,0.3,8,0,0,0,0.1,0,0,28.60000000000002,-7.661999999999989,20.93800000000003
0.15,0.15,0.3,9,0.01,0,0,0,0,0,2.2037000000000013,-1.3304000000000042,0.8732999999999971
