m1,m1CloseOpen,m15,m15CloseOpen,h1,h1CloseOpen,h4,h4CloseOpen,d1,d1CloseOpen
down,-0.0500000000001819,up,8.450000000000045,up,-0.0500000000001819,up,134.1500000000001,down,63.799999999999955
down,-0.6499999999998636,up,5,up,-2.8999999999998636,down,-4.300000000000182,up,-143.3499999999999
up,1.5,up,4.7999999999999545,up,2.75,down,17.100000000000136,down,-49.450000000000045
up,0.4500000000000455,up,-6.849999999999909,up,0.75,down,72.04999999999995,up,-8.349999999999909
up,1.25,up,-0.4500000000000455,down,-0.6000000000001364,down,-93.25,up,55.94999999999982
up,2.0499999999999545,up,-0.2999999999999545,up,0.4500000000000455,down,32.09999999999991,up,83.20000000000005
up,-2.7000000000000455,up,6.2000000000000455,up,4,down,-56.799999999999955,up,5.100000000000136
up,1.7000000000000455,up,-3.2000000000000455,down,1.4500000000000455,down,-54.450000000000045,up,70.89999999999986
up,0.049999999999954525,up,-11.25,up,-3.25,down,-38.5,up,-58.450000000000045
up,0.650000000000091,up,-8.75,up,-3.4500000000000455,down,-21.899999999999864,up,38.15000000000009
up,1.0499999999999545,up,1.5499999999999545,up,-3,down,20.799999999999955,up,21.84999999999991
up,-0.75,up,-3.599999999999909,up,-5.149999999999864,up,-149.25,up,-17.449999999999818
up,-1.400000000000091,down,1.6499999999998636,up,1.599999999999909,down,-13.950000000000045,up,-11.25
up,-0.7000000000000455,up,7.4500000000000455,up,0.2999999999999545,down,-15.25,down,31.84999999999991
up,2.800000000000182,down,-4.399999999999864,up,-1.4500000000000455,down,-14.899999999999864,down,29.90000000000009
up,2.199999999999818,down,3.3999999999998636,up,3.300000000000182,up,-60.75,down,-27.450000000000045
up,3.5,down,-8.049999999999955,down,2.25,up,-32.75,down,125.14999999999986
up,-2.099999999999909,down,1.75,down,-1.400000000000091,up,8.149999999999864,down,-64.09999999999991
up,-1,down,-0.7000000000000455,down,-4,up,12.049999999999955,down,-16.59999999999991
down,-1.349999999999909,down,-0.849999999999909,down,1.0499999999999545,up,30.100000000000136,up,-187.45000000000005
down,0.14999999999986358,down,-0.7999999999999545,down,-1.9500000000000455,up,-37.200000000000045,down,38.75
down,3.25,down,-1.400000000000091,down,-0.5499999999999545,up,18.84999999999991,down,-8.549999999999955
down,-1.9500000000000455,down,-6.900000000000091,down,-6.649999999999864,up,-41.899999999999864,down,40.399999999999864
down,-3.349999999999909,down,3.900000000000091,up,12.5,up,-13.5,down,6.2999999999999545
down,3.650000000000091,down,4.7000000000000455,down,-2.4500000000000455,up,3.5499999999999545,down,42.80000000000018
down,-0.25,up,-22.450000000000045,up,16.09999999999991,up,-2.2000000000000455,down,-33.950000000000045
down,2.5499999999999545,up,-7.7000000000000455,up,-6.0499999999999545,down,1.25,up,-237.35000000000014
down,-0.6000000000001364,down,-1,up,-0.650000000000091,down,-6.0499999999999545,down,12.600000000000136
down,-8.449999999999818,down,-3.7000000000000455,up,5.800000000000182,down,-6,down,-42.40000000000009
down,-2.900000000000091,down,2.3500000000001364,down,-1.25,down,-2.7000000000000455,down,-22.34999999999991
down,0.25,down,1,down,-9.800000000000182,down,-13.599999999999909,down,-35.700000000000045
down,-3,up,-6.5,down,0.900000000000091,down,-1.900000000000091,down,-48.5
